model_id,K,N,gene,balance,rein_L,match,degenerate,gt_tt,rein_tt
110_9_0,5,5,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,5,v_CpdR,pure_activator,15,False,False,"[0, 1]","[1, 1]"
110_9_0,5,5,v_CtrAb,balanced,5,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,5,5,v_DivJ,balanced,4,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,5,5,v_DivK,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,5,5,v_DivL,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,5,v_PleC,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,10,v_CckA,pure_activator,13,False,True,"[0, 1]","[1, 1]"
110_9_0,5,10,v_ChpT,pure_activator,13,False,True,"[0, 1]","[1, 1]"
110_9_0,5,10,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,10,v_CpdR,pure_activator,13,False,True,"[0, 1]","[1, 1]"
110_9_0,5,10,v_CtrAb,balanced,3,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,5,10,v_DivJ,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,5,10,v_DivK,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,5,10,v_DivL,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,10,v_PleC,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,20,v_CckA,pure_activator,1,True,False,"[0, 1]","[0, 1]"
110_9_0,5,20,v_ChpT,pure_activator,0,True,False,"[0, 1]","[0, 1]"
110_9_0,5,20,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,20,v_CpdR,pure_activator,13,False,True,"[0, 1]","[1, 1]"
110_9_0,5,20,v_CtrAb,balanced,6,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,5,20,v_DivJ,balanced,2,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,5,20,v_DivK,balanced,2,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,5,20,v_DivL,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,5,20,v_PleC,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,1,v_CckA,pure_activator,2,True,False,"[0, 1]","[0, 1]"
110_9_0,10,1,v_ChpT,pure_activator,0,True,False,"[0, 1]","[0, 1]"
110_9_0,10,1,v_ClpXP_RcdA,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,1,v_CpdR,pure_activator,0,True,False,"[0, 1]","[0, 1]"
110_9_0,10,1,v_CtrAb,balanced,2,True,False,"[0, 0, 1, 0]","[0, 0, 1, 0]"
110_9_0,10,1,v_DivJ,balanced,7,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,10,1,v_DivK,balanced,5,False,False,"[0, 0, 1, 0]","[0, 0, 1, 1]"
110_9_0,10,1,v_DivL,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
110_9_0,10,1,v_PleC,pure_repressor,17,True,True,"[1, 0]","[1, 0]"
